Mark Stone,VGK,RW,19,6,17,23,11,8,39,1,2,1,0,1,11,14
Sam Carrick,ANH,C,24,6,2,8,1,22,36,0,0,0,0,0,41,8
Jaden Schwartz,SEA,LW,28,6,14,20,-12,10,69,0,1,2,0,0,35,9
Ryan Strome,NYR,C,26,6,15,21,1,30,55,3,2,6,0,0,16,4
Sean Couturier,PHI,C,29,6,11,17,-6,14,79,2,2,3,0,1,22,18
Dougie Hamilton,NJ,D,27,6,11,17,-9,22,99,0,1,4,0,0,36,43
Adam Henrique,ANH,C,24,6,10,16,5,4,68,0,2,3,0,0,12,19
Rasmus Dahlin,BUF,D,30,6,12,18,-6,24,69,1,2,5,0,0,38,28
Adam Boqvist,CLS,D,18,6,3,9,-2,2,23,1,1,2,0,0,6,11
Vasili Podkolzin,VAN,RW,29,6,2,8,5,4,42,1,0,1,0,0,30,14
Arthur Kaliyev,LA,RW,29,6,3,9,-2,4,63,1,2,2,0,0,11,3
Alex Newhook,COL,C,18,6,4,10,4,4,27,3,2,1,0,0,10,5
Alexis Lafreniere,NYR,LW,30,6,2,8,-4,13,38,3,0,0,0,0,49,10
Alex Formenton,OTT,LW,25,6,4,10,-3,19,42,1,0,0,2,0,35,6
Nick Suzuki,MON,C,31,6,12,18,-13,8,68,2,3,3,1,0,31,19
Elias Pettersson,VAN,C,31,6,10,16,-2,6,69,1,3,5,1,0,9,16
Kailer Yamamoto,EDM,LW,29,5,2,7,-4,10,30,3,0,1,1,0,30,10
Eeli Tolvanen,NSH,LW,30,5,6,11,8,8,77,1,1,4,0,0,53,12
Jacob Peterson,DAL,LW,22,5,1,6,-3,8,29,2,0,0,0,0,11,4
Carl Grundstrom,LA,LW,23,5,3,8,3,6,45,0,0,0,0,0,50,8
Adam Fox,NYR,D,30,5,26,31,7,14,58,1,0,13,1,0,12,63
Rem Pitlick,MIN,C,17,5,5,10,1,10,12,1,0,0,0,0,6,5
Rasmus Asplund,BUF,C,30,5,10,15,-7,4,55,1,2,1,1,0,9,7
Cole Sillinger,CLS,C,28,5,6,11,-8,19,57,1,0,1,0,0,16,12
Anton Lundell,FLA,C,25,5,7,12,5,8,45,2,0,1,0,0,12,26
Philip Tomasino,NSH,C,26,5,4,9,-3,8,32,2,2,1,0,0,6,11
Tim Stutzle,OTT,LW,28,5,10,15,-10,12,62,1,2,5,0,0,37,21
Nico Sturm,MIN,C,30,5,5,10,-6,6,45,0,0,0,1,0,32,12
Jack Hughes,NJ,C,13,5,3,8,-9,0,27,1,0,0,0,0,1,4
Kaapo Kakko,NYR,RW,26,5,5,10,4,4,42,1,1,1,0,0,3,7
